Daddy Cool,Groove Century,1976,Solo,Just Dance 2018
Despacito,Luis Fonsi ft. Daddy Yankee,2017,Dance Crew,Just Dance 2018
Dharma,Headhunterz & KSHMR,2016,Solo,Just Dance 2018
Diggy,Spencer Ludwig,2016,Solo,Just Dance 2018
Fearless Pirate,Marine Band,2017,Solo,Just Dance 2018 (Kids Mode)
Fight Club,Lights,2017,Solo,Just Dance 2018
Footloose,Top Culture,1984,Solo,Just Dance 2018
Funky Robot,Dancing Bros,2017,Solo,Just Dance 2018 (Kids Mode)
Got That,Gigi Rowe,2017,Solo,Just Dance 2018
Happy Farm,Groove Century,2016,Solo,Just Dance 2018 (Kids Mode)
How Far I’ll Go,Disney’s Moana,2016,Solo,Just Dance 2018
In the Hall of the Pixel King,Dancing Bros.,2016,Solo,Just Dance 2018
Instruction,Jax Jones ft. Demi Lovato & Stefflon Don,2017,Solo,Just Dance 2018
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,The Sunlight Shakers,1960,Duet,Just Dance 2018
John Wayne,Lady Gaga,2016,Solo,Just Dance 2018
Keep on Moving,Michelle Delamor,2017,Solo,Just Dance 2018
Kissing Strangers,DNCE ft. Nicki Minaj,2017,Duet,Just Dance 2018
Love Ward,Hatsune Miku,2009,Trio,Just Dance 2018
Magic Halloween,Halloween Thrills,2013,Duet,Just Dance 2018 (Kids Mode)
Make It Jingle,Big Freedia,2016,Solo,Just Dance 2018
Naughty Girl,Beyoncé,2003,Solo,Just Dance 2018
New Face,PSY,2017,Trio,Just Dance 2018
Pixie Land,The Sunlight Shakers,2010,Solo,Just Dance 2018 (Kids Mode)
Risky Business,Jorge Blanco,2017,Solo,Just Dance 2018
Rockabye,Clean Bandit ft. Sean Paul and Anne-Marie,2016,Duet,Just Dance 2018
Sayonara,Wanko Ni Mero Mero,2017,Solo,Just Dance 2018
Shape of You,Ed Sheeran,2017,Solo,Just Dance 2018
Side to Side,Ariana Grande ft. Nicki Minaj,2016,Solo,Just Dance 2018
Sugar Dance,The Just Dance Band,2017,Solo,Just Dance 2018
Swish Swish,Katy Perry ft. Nicki Minaj,2017,Dance Crew,Just Dance 2018
The Way I Are (Dance With Somebody),Bebe Rexha ft. Lil Wayne,2017,Duet,Just Dance 2018
Tumbum,Yemi Alade,2016,Dance Crew,Just Dance 2018
Waka Waka (This Time for Africa),Shakira,2010,Trio,Just Dance 2018
Slumber Party,Britney Spears ft. Tinashe,2016,Dance Crew,Just Dance 2018
Hala Bel Khamis,Maan Barghouth,2018,Solo,Just Dance 2019
On Ne Porte Pas De Sous-Vêtements,McFly & Carlito,2018,Duet,Just Dance 2019
